"date","onset"
2020-01-22,2
2020-01-23,1
2020-01-24,0
2020-01-25,1
2020-01-26,1
2020-01-27,0
2020-01-28,4
2020-01-29,2
2020-01-30,9
2020-01-31,2
2020-02-01,3
2020-02-02,5
2020-02-03,4
2020-02-04,3
2020-02-05,1
2020-02-06,0
2020-02-07,2
2020-02-08,7
2020-02-09,0
2020-02-10,2
2020-02-11,0
2020-02-12,6
2020-02-13,3
2020-02-14,1
2020-02-15,0
2020-02-16,1
2020-02-17,1
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,3
2020-02-26,0
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,0
2020-03-02,2
2020-03-03,0
2020-03-04,4
2020-03-05,0
2020-03-06,2
2020-03-07,1
2020-03-08,4
2020-03-09,2
2020-03-10,5
2020-03-11,7
2020-03-12,4
2020-03-13,5
2020-03-14,4
2020-03-15,7
2020-03-16,13
2020-03-17,19
2020-03-18,13
2020-03-19,12
2020-03-20,20
2020-03-21,16
2020-03-22,17
2020-03-23,22
2020-03-24,25
2020-03-25,18
2020-03-26,13
2020-03-27,18
2020-03-28,5
2020-03-29,13
2020-03-30,6
2020-03-31,6
2020-04-01,6
2020-04-02,5
2020-04-03,7
2020-04-04,5
2020-04-05,3
2020-04-06,5
2020-04-07,2
2020-04-08,2
2020-04-09,0
2020-04-10,2
2020-04-11,1
2020-04-12,0
2020-04-13,1
2020-04-14,1
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,1
2020-04-26,0
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,1
2020-05-09,0
2020-05-10,0
2020-05-11,1
2020-05-12,0
2020-05-13,0
2020-05-14,1
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,1
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,1
2020-05-27,0
2020-05-28,0
2020-05-29,1
2020-05-30,1
2020-05-31,1
2020-06-01,2
2020-06-02,0
2020-06-03,2
2020-06-04,1
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,1
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,2
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,1
2020-06-30,2
2020-07-01,4
2020-07-02,3
2020-07-03,6
2020-07-04,8
2020-07-05,10
2020-07-06,21
2020-07-07,38
2020-07-08,30
2020-07-09,53
2020-07-10,52
2020-07-11,45
2020-07-12,51
2020-07-13,56
2020-07-14,78
2020-07-15,83
2020-07-16,88
2020-07-17,92
2020-07-18,88
2020-07-19,76
2020-07-20,97
2020-07-21,105
2020-07-22,106
2020-07-23,110
2020-07-24,117
2020-07-25,130
2020-07-26,102
2020-07-27,144
2020-07-28,104
2020-07-29,88
2020-07-30,75
2020-07-31,77
2020-08-01,75
2020-08-02,68
2020-08-03,65
2020-08-04,62
2020-08-05,66
2020-08-06,54
2020-08-07,52
2020-08-08,47
2020-08-09,43
2020-08-10,56
2020-08-11,31
2020-08-12,30
2020-08-13,37
2020-08-14,41
2020-08-15,25
2020-08-16,46
2020-08-17,30
2020-08-18,24
2020-08-19,21
2020-08-20,22
2020-08-21,16
2020-08-22,13
2020-08-23,10
2020-08-24,6
2020-08-25,11
2020-08-26,17
2020-08-27,15
2020-08-28,6
2020-08-29,10
2020-08-30,7
2020-08-31,6
2020-09-01,11
2020-09-02,8
2020-09-03,7
2020-09-04,5
2020-09-05,5
2020-09-06,10
2020-09-07,5
2020-09-08,5
2020-09-09,9
2020-09-10,5
2020-09-11,6
2020-09-12,4
2020-09-13,5
2020-09-14,5
2020-09-15,3
2020-09-16,3
2020-09-17,2
2020-09-18,2
2020-09-19,3
2020-09-20,7
2020-09-21,3
2020-09-22,6
2020-09-23,0
2020-09-24,2
2020-09-25,2
2020-09-26,4
2020-09-27,0
2020-09-28,1
2020-09-29,1
2020-09-30,2
2020-10-01,4
2020-10-02,1
2020-10-03,5
2020-10-04,7
2020-10-05,3
2020-10-06,7
2020-10-07,4
2020-10-08,10
2020-10-09,4
2020-10-10,4
2020-10-11,1
2020-10-12,2
2020-10-13,1
NA,91
