"date","confirmed"
2020-01-30,1
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,0
2020-02-08,0
2020-02-09,10
2020-02-10,6
2020-02-11,7
2020-02-12,1
2020-02-13,3
2020-02-14,3
2020-02-15,0
2020-02-16,1
2020-02-17,3
2020-02-18,1
2020-02-19,3
2020-02-20,4
2020-02-21,0
2020-02-22,1
2020-02-23,4
2020-02-24,2
2020-02-25,4
2020-02-26,4
2020-02-27,2
2020-02-28,0
2020-02-29,1
2020-03-01,3
2020-03-02,1
2020-03-03,0
2020-03-04,3
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,3
2020-03-09,1
2020-03-10,0
2020-03-11,1
2020-03-12,0
2020-03-13,2
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,12
2020-03-19,6
2020-03-20,21
2020-03-21,7
2020-03-22,22
2020-03-23,16
2020-03-24,17
2020-03-25,10
2020-03-26,18
2020-03-27,28
2020-03-28,20
2020-03-29,21
2020-03-30,9
2020-03-31,9
2020-04-01,20
2020-04-02,9
2020-04-03,14
2020-04-04,7
2020-04-05,4
2020-04-06,6
2020-04-07,9
2020-04-08,10
2020-04-09,3
2020-04-10,4
2020-04-11,1
2020-04-12,0
2020-04-13,1
2020-04-14,1
2020-04-15,0
2020-04-16,0
2020-04-17,1
2020-04-18,0
2020-04-19,1
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,2
2020-05-14,1
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,2
2020-06-01,3
2020-06-02,4
2020-06-03,0
2020-06-04,1
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,1
2020-06-13,1
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,2
2020-07-06,1
2020-07-07,9
2020-07-08,19
2020-07-09,34
2020-07-10,32
2020-07-11,16
2020-07-12,30
2020-07-13,41
2020-07-14,40
2020-07-15,14
2020-07-16,63
2020-07-17,50
2020-07-18,60
2020-07-19,82
2020-07-20,66
2020-07-21,58
2020-07-22,102
2020-07-23,110
2020-07-24,115
2020-07-25,126
2020-07-26,103
2020-07-27,141
2020-07-28,98
2020-07-29,113
2020-07-30,145
2020-07-31,118
2020-08-01,123
2020-08-02,112
2020-08-03,80
2020-08-04,75
2020-08-05,82
2020-08-06,91
2020-08-07,81
2020-08-08,67
2020-08-09,63
2020-08-10,67
2020-08-11,32
2020-08-12,61
2020-08-13,65
2020-08-14,46
2020-08-15,39
2020-08-16,70
2020-08-17,31
2020-08-18,35
2020-08-19,23
2020-08-20,17
2020-08-21,18
2020-08-22,24
2020-08-23,19
2020-08-24,7
2020-08-25,16
2020-08-26,24
2020-08-27,18
2020-08-28,10
2020-08-29,16
2020-08-30,10
2020-08-31,7
2020-09-01,9
2020-09-02,8
2020-09-03,7
2020-09-04,7
2020-09-05,7
2020-09-06,15
2020-09-07,10
2020-09-08,3
2020-09-09,5
2020-09-10,5
2020-09-11,3
2020-09-12,9
2020-09-13,11
2020-09-14,12
2020-09-15,0
2020-09-16,5
2020-09-17,6
2020-09-18,2
2020-09-19,4
2020-09-20,4
2020-09-21,4
2020-09-22,6
2020-09-23,2
2020-09-24,3
2020-09-25,2
2020-09-26,0
2020-09-27,1
2020-09-28,3
2020-09-29,0
2020-09-30,1
2020-10-01,1
2020-10-02,3
2020-10-03,1
2020-10-04,2
2020-10-05,2
2020-10-06,4
2020-10-07,9
2020-10-08,14
2020-10-09,7
2020-10-10,3
2020-10-11,4
2020-10-12,5
2020-10-13,4
